,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),DielectricConstant Value (),DielectricConstant Uncertainty (),Density Value (g / ml),Density Uncertainty (g / ml),ExcessMolarVolume Value (cm ** 3 / mol),ExcessMolarVolume Uncertainty (cm ** 3 / mol),Source,match
7484,8847258160790490996,298.15,101.0,Liquid,2,COC(=O)CCCCl,Solvent,0.2,,Cc1ccccc1,Solvent,0.8,,,,,,,,,,0.9194700000000002,8.500000000000002e-05,,,10.1021/je900194v,phe
7485,-8992217910658224487,298.15,101.0,Liquid,2,COC(=O)CCCCl,Solvent,0.5,,Cc1ccccc1,Solvent,0.5,,,,,,,,,,0.9988100000000002,9.000000000000002e-05,,,10.1021/je900194v,phe
7486,-7927539588575367988,298.15,101.0,Liquid,2,COC(=O)CCCCl,Solvent,0.7,,Cc1ccccc1,Solvent,0.3,,,,,,,,,,1.04784,7.000000000000002e-05,,,10.1021/je900194v,phe
7547,7139621545302620770,298.15,101.0,Liquid,2,CCOCCO,Solvent,0.2493,,Cc1ccccc1,Solvent,0.7507,,,,,,,,,,0.8752300000000002,0.00166,,,10.1021/je034005y,phe
7548,-7221725068240101062,298.15,101.0,Liquid,2,CCOCCO,Solvent,0.5019,,Cc1ccccc1,Solvent,0.4981,,,,,,,,,,0.8917400000000002,0.001525,,,10.1021/je034005y,phe
7549,7162101513814355697,298.15,101.0,Liquid,2,CCOCCO,Solvent,0.7465,,Cc1ccccc1,Solvent,0.2534999999999999,,,,,,,,,,0.9081900000000004,0.00139,,,10.1021/je034005y,phe
7562,-7288718379087216205,298.15,101.0,Liquid,2,CCCCOCCO,Solvent,0.2513,,Cc1ccccc1,Solvent,0.7486999999999999,,,,,,,,,,0.8712100000000003,0.00086,,,10.1021/je034005y,phe
7563,4467609055663461941,298.15,101.0,Liquid,2,CCCCOCCO,Solvent,0.5015,,Cc1ccccc1,Solvent,0.4985,,,,,,,,,,0.8811900000000003,0.000815,,,10.1021/je034005y,phe
7564,-3276333588668503267,298.15,101.0,Liquid,2,CCCCOCCO,Solvent,0.7494,,Cc1ccccc1,Solvent,0.2506,,,,,,,,,,0.8894800000000003,0.00078,,,10.1021/je034005y,phe
8144,-8802853133473354640,303.15,101.0,Liquid,2,CCCCCCCO,Solvent,0.7511,,Cc1ccccc1,Solvent,0.2489,,,,,,,,,,0.8228400000000002,0.00015,,,10.1021/je0602519,phe
8145,2746301194615967088,303.15,101.0,Liquid,2,CCCCCCCO,Solvent,0.4997,,Cc1ccccc1,Solvent,0.5003,,,,,,,,,,0.8318300000000003,0.00015,,,10.1021/je0602519,phe
8146,-51086865578282200,303.15,101.0,Liquid,2,CCCCCCCO,Solvent,0.248,,Cc1ccccc1,Solvent,0.752,,,,,,,,,,0.8426900000000003,0.00015,,,10.1021/je0602519,phe
8147,2352050039313360464,303.15,101.0,Liquid,2,CCCCCCCCO,Solvent,0.7483,,Cc1ccccc1,Solvent,0.2517,,,,,,,,,,0.8249800000000003,0.00015,,,10.1021/je0602519,phe
8148,8410741570935896111,303.15,101.0,Liquid,2,CCCCCCCCO,Solvent,0.4999,,Cc1ccccc1,Solvent,0.5001,,,,,,,,,,0.8326300000000002,0.00015,,,10.1021/je0602519,phe
8149,-3528310882456180614,303.15,101.0,Liquid,2,CCCCCCCCO,Solvent,0.2430999999999999,,Cc1ccccc1,Solvent,0.7569,,,,,,,,,,0.8429000000000002,0.00015,,,10.1021/je0602519,phe
8220,2893635793126600621,298.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.2987,,O=CN1CCOCC1,Solvent,0.7013,,,,,,,,,,1.06462,0.00047,,,10.1021/je060475r,phe
8221,-1691305155380497555,298.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.4996,,O=CN1CCOCC1,Solvent,0.5004,,,,,,,,,,1.0078700000000005,0.000285,,,10.1021/je060475r,phe
8222,2511750992665205949,298.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.701,,O=CN1CCOCC1,Solvent,0.299,,,,,,,,,,0.9499400000000002,0.000415,,,10.1021/je060475r,phe
8286,-8657052227096873776,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.7416,,Clc1ccccc1,Solvent,0.2584,,,,,,-0.0944,0.002,,,,,,,10.1021/je7002447,phe
8287,8381049027635767140,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.1929999999999999,,Clc1ccccc1,Solvent,0.807,,,,,,-0.0675,0.00145,,,,,,,10.1021/je7002447,phe
8288,-8004439014012469824,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.5,,Clc1ccccc1,Solvent,0.5,,,,,,-0.119,0.0015,,,,,,,10.1021/je020186c,phe
8301,3395253671939453842,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.7425999999999999,,ClCc1ccccc1,Solvent,0.2574,,,,,,0.0471,0.0011,,,,,,,10.1021/je7002447,phe
8302,-6400757837102287564,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.5197,,ClCc1ccccc1,Solvent,0.4803,,,,,,0.06,0.00135,,,,,,,10.1021/je7002447,phe
8303,-1156455699668040796,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.265,,ClCc1ccccc1,Solvent,0.735,,,,,,0.0454,0.00105,,,,,,,10.1021/je7002447,phe
8316,-7166378957306348753,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.7668,,ClCCc1ccccc1,Solvent,0.2332,,,,,,0.0021,0.0004,,,,,,,10.1021/je7002447,phe
8317,-6175405535775885509,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.4805,,ClCCc1ccccc1,Solvent,0.5195,,,,,,0.007,0.0004,,,,,,,10.1021/je7002447,phe
8318,-1801479688471423076,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.2357,,ClCCc1ccccc1,Solvent,0.7643,,,,,,0.0073,0.0004,,,,,,,10.1021/je7002447,phe
8331,-2042335333919474400,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.7352000000000001,,ClCCCc1ccccc1,Solvent,0.2648,,,,,,-0.0969,0.00205,,,,,,,10.1021/je7002447,phe
8332,6961439159438771759,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.5101,,ClCCCc1ccccc1,Solvent,0.4899,,,,,,-0.1083,0.0023,,,,,,,10.1021/je7002447,phe
8333,6949512176474223328,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.2577,,ClCCCc1ccccc1,Solvent,0.7423,,,,,,-0.0752,0.00165,,,,,,,10.1021/je7002447,phe
8575,5167501110833061881,298.15,100.0,Liquid,2,CC(C)(C)O,Solvent,0.7436,,Cc1ccccc1,Solvent,0.2564,,,,,,,,,,0.7997800000000002,0.000805,,,10.1021/acs.jced.6b00096,phe
8576,-5489748556653711242,298.15,100.0,Liquid,2,CC(C)(C)O,Solvent,0.4532,,Cc1ccccc1,Solvent,0.5468,,,,,,,,,,0.8233400000000002,0.000825,,,10.1021/acs.jced.6b00096,phe
8577,-4395650018148190538,298.15,100.0,Liquid,2,CC(C)(C)O,Solvent,0.2379,,Cc1ccccc1,Solvent,0.7621,,,,,,,,,,0.8412600000000002,0.000845,,,10.1021/acs.jced.6b00096,phe
8645,1865073635561541421,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.7709,,ClC=C(Cl)Cl,Solvent,0.2291,,,,,,,,,,0.9756000000000002,0.0003,,,10.1021/je034203p,phe
8646,7724082876825313319,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.4574,,ClC=C(Cl)Cl,Solvent,0.5426,,,,,,,,,,1.1490000000000002,0.0004,,,10.1021/je034203p,phe
8647,-1427044452386389976,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.2652,,ClC=C(Cl)Cl,Solvent,0.7348,,,,,,,,,,1.2708000000000002,0.0005,,,10.1021/je034203p,phe
8681,7374818195455999445,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.7938000000000001,,ClC(Cl)=C(Cl)Cl,Solvent,0.2062,,,,,,,,,,1.0047000000000004,0.0003,,,10.1021/je034203p,phe
8682,-1111152232477120772,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.4905,,ClC(Cl)=C(Cl)Cl,Solvent,0.5095,,,,,,,,,,1.2253000000000005,0.00045,,,10.1021/je034203p,phe
8683,-7351924872231579975,298.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.2916999999999999,,ClC(Cl)=C(Cl)Cl,Solvent,0.7083,,,,,,,,,,1.3768000000000002,0.0006,,,10.1021/je034203p,phe
8771,-4501328980374533816,303.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.2458,,O=S1(=O)CCCC1,Solvent,0.7542,,,,,,,,,,1.1617200000000003,0.00029,,,10.1021/je0341920,phe
8772,6174008856111350030,303.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.4651,,O=S1(=O)CCCC1,Solvent,0.5348999999999999,,,,,,,,,,1.07279,0.00024,,,10.1021/je0341920,phe
8773,-1016053687338010604,303.15,101.3,Liquid,2,Cc1ccccc1,Solvent,0.7527,,O=S1(=O)CCCC1,Solvent,0.2472999999999999,,,,,,,,,,0.9573600000000002,0.000195,,,10.1021/je0341920,phe
8853,2134398373479415234,298.15,101.0,Liquid,2,C=COCCC,Solvent,0.1995,,Cc1ccccc1,Solvent,0.8005,,,,,,,,,,0.8430500000000002,0.00011,,,10.1021/je800972b,phe
8854,-8547695023925274640,298.15,101.0,Liquid,2,C=COCCC,Solvent,0.5002,,Cc1ccccc1,Solvent,0.4998,,,,,,,,,,0.8137300000000002,0.00011,,,10.1021/je800972b,phe
8855,-705366885297747828,298.15,101.0,Liquid,2,C=COCCC,Solvent,0.6998,,Cc1ccccc1,Solvent,0.3002,,,,,,,,,,0.7936500000000002,0.00011,,,10.1021/je800972b,phe
9002,-6354735990962715437,313.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.2581,,Oc1ccccc1,Solvent,0.7419,,,,,,,,,,0.9984600000000002,8.500000000000002e-05,,,10.1021/je100888h,phe
9003,3506393868208385704,313.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.5438,,Oc1ccccc1,Solvent,0.4562,,,,,,,,,,0.9364600000000004,0.000125,,,10.1021/je100888h,phe
9004,4596864386068546675,313.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.7288,,Oc1ccccc1,Solvent,0.2712,,,,,,,,,,0.8989900000000002,0.000145,,,10.1021/je100888h,phe
9007,8511046793865553448,303.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.2749,,Cc1ccccc1O,Solvent,0.7251000000000001,,,,,,,,,,0.9878900000000004,0.000135,,,10.1021/je100888h,phe
9008,5177609807288459153,303.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.5187,,Cc1ccccc1O,Solvent,0.4812999999999999,,,,,,,,,,0.9438800000000004,0.000145,,,10.1021/je100888h,phe
9009,-5372047241972373823,303.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.7547,,Cc1ccccc1O,Solvent,0.2452999999999999,,,,,,,,,,0.9012600000000002,0.000155,,,10.1021/je100888h,phe
9012,8342189438349242423,303.15,101.0,Liquid,2,Cc1cccc(O)c1,Solvent,0.7479,,Cc1ccccc1,Solvent,0.2521,,,,,,,,,,0.9846000000000004,8.500000000000002e-05,,,10.1021/je100888h,phe
9013,3138072927773946391,303.15,101.0,Liquid,2,Cc1cccc(O)c1,Solvent,0.4795,,Cc1ccccc1,Solvent,0.5205,,,,,,,,,,0.9394900000000004,0.00012,,,10.1021/je100888h,phe
9014,8240439658612823894,303.15,101.0,Liquid,2,Cc1cccc(O)c1,Solvent,0.2802,,Cc1ccccc1,Solvent,0.7198,,,,,,,,,,0.9054200000000002,0.00014,,,10.1021/je100888h,phe
9017,603326511079589125,303.15,101.0,Liquid,2,Cc1ccc(O)cc1,Solvent,0.7187,,Cc1ccccc1,Solvent,0.2813,,,,,,,,,,0.9799100000000002,9.000000000000002e-05,,,10.1021/je100888h,tyr
9018,-2145630062574247211,303.15,101.0,Liquid,2,Cc1ccc(O)cc1,Solvent,0.5085999999999999,,Cc1ccccc1,Solvent,0.4914,,,,,,,,,,0.9443200000000004,0.000115,,,10.1021/je100888h,tyr
9019,3466414748173555819,303.15,101.0,Liquid,2,Cc1ccc(O)cc1,Solvent,0.2249999999999999,,Cc1ccccc1,Solvent,0.775,,,,,,,,,,0.8973700000000002,0.000145,,,10.1021/je100888h,tyr
9146,-1197249409050860547,313.15,101.0,Liquid,2,C1CCCC1,Solvent,0.2717,,Cc1ccccc1,Solvent,0.7283,,,,,,,,,,0.8173000000000001,0.00015,,,10.1021/je8009336,phe
9147,-3385650095402768861,313.15,101.0,Liquid,2,C1CCCC1,Solvent,0.4944,,Cc1ccccc1,Solvent,0.5056,,,,,,,,,,0.7904000000000002,0.00015,,,10.1021/je8009336,phe
9148,-3197997654021407702,313.15,101.0,Liquid,2,C1CCCC1,Solvent,0.7951,,Cc1ccccc1,Solvent,0.2048999999999999,,,,,,,,,,0.7522000000000002,0.00015,,,10.1021/je8009336,phe
29,-2879114042359507353,298.15,101.325,Liquid,1,CO,Solvent,1.0,,,,,,,,,,,,,,0.7859000000000002,0.02,,,10.1016/j.fluid.2013.11.008,ser
776,-7047009740063675335,298.15,101.325,Liquid,2,CO,Solvent,0.2007,,Clc1ccccc1,Solvent,0.7993,,,,,,,,,,1.0733340000000002,8.850000000000001e-05,,,10.1016/j.fluid.2005.10.022,ser
777,-2412596064177763665,298.15,101.325,Liquid,2,CO,Solvent,0.5007,,Clc1ccccc1,Solvent,0.4992999999999999,,,,,,,,,,1.0137650000000002,9.050000000000002e-05,,,10.1016/j.fluid.2005.10.022,ser
778,-8025534667015932995,298.15,101.325,Liquid,2,CO,Solvent,0.7474,,Clc1ccccc1,Solvent,0.2526,,,,,,,,,,0.9340630000000002,0.000103,,,10.1016/j.fluid.2005.10.022,ser
779,-7363072007006481155,303.0,101.0,Liquid,2,Brc1ccccc1,Solvent,0.6472,,CO,Solvent,0.3528,,,,,,,,,,1.3670000000000002,0.0052,,,10.1007/s10765-008-0444-7,ser
780,-2958195658506591102,303.0,101.0,Liquid,2,Brc1ccccc1,Solvent,0.4496,,CO,Solvent,0.5504,,,,,,,,,,1.2670000000000003,0.0045,,,10.1007/s10765-008-0444-7,ser
781,1224418006482646836,303.0,101.0,Liquid,2,Brc1ccccc1,Solvent,0.2342999999999999,,CO,Solvent,0.7657,,,,,,,,,,1.1020000000000003,0.0034,,,10.1007/s10765-008-0444-7,ser
875,-7765974629224050836,298.15,101.0,Liquid,2,CO,Solvent,0.2901,,COP(C)(=O)OC,Solvent,0.7099,,,,,,,,,,1.1041,0.0006,,,10.1007/s10765-011-0989-8,ser
876,-2939097169690478078,298.15,101.0,Liquid,2,CO,Solvent,0.507,,COP(C)(=O)OC,Solvent,0.493,,,,,,,,,,1.0476,0.0006,,,10.1007/s10765-011-0989-8,ser
877,7152560776802805681,298.15,101.0,Liquid,2,CO,Solvent,0.7997,,COP(C)(=O)OC,Solvent,0.2003,,,,,,,,,,0.9270000000000004,0.0006,,,10.1007/s10765-011-0989-8,ser
878,2718966261272531102,298.15,101.0,Liquid,2,CO,Solvent,0.2263,,CO[PH](=O)OC,Solvent,0.7737,,,,,,,,,,1.1472000000000002,0.00085,,,10.1007/s10765-011-0989-8,ser
879,5790195423180630035,298.15,101.0,Liquid,2,CO,Solvent,0.5379,,CO[PH](=O)OC,Solvent,0.4620999999999999,,,,,,,,,,1.0650000000000002,0.00075,,,10.1007/s10765-011-0989-8,ser
880,-5032486799198900243,298.15,101.0,Liquid,2,CO,Solvent,0.7262,,CO[PH](=O)OC,Solvent,0.2738,,,,,,,,,,0.9868000000000002,0.0007,,,10.1007/s10765-011-0989-8,ser
906,3477607510569764842,298.15,101.0,Liquid,2,CO,Solvent,0.7042999999999999,,Cc1cc(C)nc(C)c1,Solvent,0.2957,,,,,,,,,,0.8753300000000003,7.500000000000002e-05,,,10.1007/s10765-011-1149-x,ser
907,-3572897515715804281,298.15,101.0,Liquid,2,CO,Solvent,0.511,,Cc1cc(C)nc(C)c1,Solvent,0.489,,,,,,,,,,0.8965700000000003,8.000000000000002e-05,,,10.1007/s10765-011-1149-x,ser
908,-3963046258702506824,298.15,101.0,Liquid,2,CO,Solvent,0.2028999999999999,,Cc1cc(C)nc(C)c1,Solvent,0.7971,,,,,,,,,,0.9081000000000002,9.500000000000002e-05,,,10.1007/s10765-011-1149-x,ser
1003,7186883100096373678,298.2,101.3,Liquid,2,CCOC(=O)C(=O)OCC,Solvent,0.2505,,CO,Solvent,0.7495,,,,,,0.866,0.004,,,,,,,10.1016/j.jct.2013.05.024,ser
1004,8189866972551309442,298.2,101.3,Liquid,2,CCOC(=O)C(=O)OCC,Solvent,0.4973,,CO,Solvent,0.5026999999999999,,,,,,1.217,0.0055,,,,,,,10.1016/j.jct.2013.05.024,ser
1005,-1596253906354782426,298.2,101.3,Liquid,2,CCOC(=O)C(=O)OCC,Solvent,0.7468,,CO,Solvent,0.2532,,,,,,1.083,0.0045,,,,,,,10.1016/j.jct.2013.05.024,ser
1219,-8438452704669158285,298.15,101.0,Liquid,2,CO,Solvent,0.74714,,c1coc(Cc2ccco2)c1,Solvent,0.25286,,,,,,,,,,0.9532800000000002,0.000185,,,10.1016/j.jct.2010.05.016,ser
1220,287391927332643939,298.15,101.0,Liquid,2,CO,Solvent,0.45879,,c1coc(Cc2ccco2)c1,Solvent,0.54121,,,,,,,,,,1.0329200000000005,0.000275,,,10.1016/j.jct.2010.05.016,ser
1221,-2931184992018714450,298.15,101.0,Liquid,2,CO,Solvent,0.2025,,c1coc(Cc2ccco2)c1,Solvent,0.7975,,,,,,,,,,1.0711600000000003,0.000405,,,10.1016/j.jct.2010.05.016,ser
1342,-5683031294134383441,298.15,101.0,Liquid,2,CO,Solvent,0.7431,,COP(=O)(OC)OC,Solvent,0.2569,,,,,,0.22598,0.001615,,,,,,,10.1016/j.tca.2008.02.015,ser
1343,-7064743601608648907,298.15,101.0,Liquid,2,CO,Solvent,0.49,,COP(=O)(OC)OC,Solvent,0.51,,,,,,0.14741,0.001145,,,,,,,10.1016/j.tca.2008.02.015,ser
1344,4416596275464766166,298.15,101.0,Liquid,2,CO,Solvent,0.2169999999999999,,COP(=O)(OC)OC,Solvent,0.783,,,,,,0.04269,0.000555,,,,,,,10.1016/j.tca.2008.02.015,ser
1411,-7256453673344062316,300.0,101.0,Liquid,2,CO,Solvent,0.7766,,OC1CCCCC1,Solvent,0.2234,,,,,,0.196,0.0022,,,,,,,10.1016/j.jct.2012.02.037,ser
1412,-2932051413252874906,300.0,101.0,Liquid,2,CO,Solvent,0.5129,,OC1CCCCC1,Solvent,0.4871,,,,,,0.2149,0.0024,,,,,,,10.1016/j.jct.2012.02.037,ser
1413,-1294185579114451871,300.0,101.0,Liquid,2,CO,Solvent,0.2734,,OC1CCCCC1,Solvent,0.7266,,,,,,0.1332,0.00155,,,,,,,10.1016/j.jct.2012.02.037,ser
1489,3782573259416343542,298.15,101.0,Liquid,2,CCCN(CCC)CCC,Solvent,0.0525056151606607,,CO,Solvent,0.9474943848393392,,,,,,,,,,0.7840170000000002,9.450000000000002e-05,,,10.1016/j.jct.2012.07.012,ser
1514,759570258034177004,298.15,100.0,Liquid,2,CCOC(=O)CC(C)=O,Solvent,0.2994,,CO,Solvent,0.7006,,,,,,1.0708,0.01155,,,,,,,10.1016/j.fluid.2008.03.012,ser
1515,8285381913664733023,298.15,100.0,Liquid,2,CCOC(=O)CC(C)=O,Solvent,0.4998,,CO,Solvent,0.5002,,,,,,1.2452,0.01335,,,,,,,10.1016/j.fluid.2008.03.012,ser
1516,-4098209188801846227,298.15,100.0,Liquid,2,CCOC(=O)CC(C)=O,Solvent,0.7994,,CO,Solvent,0.2006,,,,,,0.8324,0.0091,,,,,,,10.1016/j.fluid.2008.03.012,ser
1529,-3881783011938517156,298.15,101.325,Liquid,2,CO,Solvent,0.2607,,c1ccccc1,Solvent,0.7393000000000001,,,,,,,,,,0.8613290000000001,0.000116,,,10.1016/j.fluid.2005.10.022,ser
1530,-5942187784953688315,298.15,101.325,Liquid,2,CO,Solvent,0.499,,c1ccccc1,Solvent,0.501,,,,,,,,,,0.8465010000000002,0.000125,,,10.1016/j.fluid.2005.10.022,ser
1531,6084506478959307201,298.15,101.325,Liquid,2,CO,Solvent,0.8,,c1ccccc1,Solvent,0.1999999999999999,,,,,,,,,,0.8177090000000001,0.0001395,,,10.1016/j.fluid.2005.10.022,ser
1532,-3038325087369826952,292.65,100.0,Liquid,2,CCc1ccccc1,Solvent,0.4751850525714095,,CO,Solvent,0.5248149474285906,,,,,,,,,,0.8480000000000002,0.005,,,10.1016/j.jct.2005.03.006,ser
1533,-8650880728986330317,292.4,100.0,Liquid,2,CCc1ccccc1,Solvent,0.0914077643280952,,CO,Solvent,0.9085922356719048,,,,,,,,,,0.8133000000000001,0.005,,,10.1016/j.jct.2005.03.006,ser
1603,7439696519067090697,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.2962,,CO,Solvent,0.7038,,,,,,,,,,0.8506500000000001,0.00014,,,10.1016/j.tca.2014.03.038,ser
1604,3517075142201852581,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.502,,CO,Solvent,0.498,,,,,,,,,,0.8684000000000002,0.000155,,,10.1016/j.tca.2014.03.038,ser
1605,-2543395395884617191,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.7075,,CO,Solvent,0.2925,,,,,,,,,,0.8766100000000002,0.00017,,,10.1016/j.tca.2014.03.038,ser
1606,-3720386424598268866,298.2,100.0,Liquid,2,CN(C)CCO,Solvent,0.2479,,CO,Solvent,0.7521,,,,,,-0.8057,0.0087,,,,,,,10.1021/je800334m,ser
1607,-3596049047138532806,298.2,100.0,Liquid,2,CN(C)CCO,Solvent,0.4972,,CO,Solvent,0.5028,,,,,,-0.8673,0.00935,,,,,,,10.1021/je800334m,ser
1608,8905170005113855836,298.2,100.0,Liquid,2,CN(C)CCO,Solvent,0.7506,,CO,Solvent,0.2493999999999999,,,,,,-0.5322,0.00585,,,,,,,10.1021/je800334m,ser
1720,5903450195609938464,293.15,100.0,Liquid,2,CO,Solvent,0.2502,,OCCCO,Solvent,0.7498,,,,,,,,,,1.0168700000000002,0.00052,,,10.1016/j.tca.2016.09.005,ser
1721,6068124616508634074,293.15,100.0,Liquid,2,CO,Solvent,0.5,,OCCCO,Solvent,0.5,,,,,,,,,,0.9682900000000002,0.000475,,,10.1016/j.tca.2016.09.005,ser
1722,77799900928643199,293.15,100.0,Liquid,2,CO,Solvent,0.7499,,OCCCO,Solvent,0.2501,,,,,,,,,,0.8983300000000003,0.000465,,,10.1016/j.tca.2016.09.005,ser
1846,8715310595050226729,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.7957,,CO,Solvent,0.2043,,,,,,,,,,0.7874900000000002,6.0000000000000015e-05,,,10.1016/j.fluid.2018.10.024,ser
1847,5461680675011288854,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.4996,,CO,Solvent,0.5004,,,,,,,,,,0.7903000000000001,6.0000000000000015e-05,,,10.1016/j.fluid.2018.10.024,ser
1848,7527132023080534574,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.1979999999999999,,CO,Solvent,0.802,,,,,,,,,,0.7907300000000002,6.0000000000000015e-05,,,10.1016/j.fluid.2018.10.024,ser
1849,-3077999339277894961,298.15,101.0,Liquid,2,CO,Solvent,0.249,,ClC(Cl)Cl,Solvent,0.751,,,,,,,,,,1.3813100000000005,0.00051,,,10.1016/j.jct.2006.03.010,ser
1850,-7290516029676631525,298.15,101.0,Liquid,2,CO,Solvent,0.4983,,ClC(Cl)Cl,Solvent,0.5017,,,,,,,,,,1.2512800000000002,0.0001485,,,10.1021/je060441j,ser
1851,-7325807994609932602,298.15,101.0,Liquid,2,CO,Solvent,0.75,,ClC(Cl)Cl,Solvent,0.25,,,,,,,,,,1.064609,0.000108,,,10.1021/je060441j,ser
2096,-1183548630768093616,298.15,101.0,Liquid,2,CO,Solvent,0.4997,,O,Solvent,0.5003,,,,,,,,,,0.8816900000000003,0.000165,,,10.1016/j.jct.2007.05.004,ser
2097,5038316785805625089,298.15,101.0,Liquid,2,CO,Solvent,0.7605,,O,Solvent,0.2395,,,,,,,,,,0.8289000000000002,0.0001,,,10.1021/je700300y,ser
2098,-2765981204168745184,298.15,101.0,Liquid,2,CO,Solvent,0.2679,,O,Solvent,0.7321,,,,,,,,,,0.93218,6.0000000000000015e-05,,,10.1021/je700300y,ser
2282,-1576751732639579232,298.15,101.0,Liquid,2,CO,Solvent,0.5,,COC(=O)OC,Solvent,0.5,,,,,,,,,,0.9746100000000002,6.500000000000002e-05,,,10.1016/j.fluid.2014.07.004,ser
2283,-5561432723693473181,298.15,101.0,Liquid,2,CO,Solvent,0.7992,,COC(=O)OC,Solvent,0.2008,,,,,,,,,,0.8825100000000002,0.00018,,,10.1021/je9008624,ser
2284,-855397613573001895,298.15,101.0,Liquid,2,CO,Solvent,0.2985,,COC(=O)OC,Solvent,0.7015,,,,,,,,,,1.0170400000000002,0.000105,,,10.1021/je9008624,ser
2285,-8054915957774721418,313.15,100.0,Liquid,2,CO,Solvent,0.7494000000000001,,COC(=O)OC,Solvent,0.2506,,,,,,1.24523,0.00521,,,,,,,10.1021/je050052+,ser
2286,4230625322380345508,313.15,100.0,Liquid,2,CO,Solvent,0.5015000000000001,,COC(=O)OC,Solvent,0.4985,,,,,,1.45255,0.006015,,,,,,,10.1021/je050052+,ser
2287,1848862287042525513,313.15,100.0,Liquid,2,CO,Solvent,0.2501,,COC(=O)OC,Solvent,0.7499,,,,,,1.06261,0.004505,,,,,,,10.1021/je050052+,ser
2644,2595327799475400504,293.15,101.0,Liquid,2,CC(=O)OCCC(C)C,Solvent,0.2227,,CO,Solvent,0.7773,,,,,,,,,,0.8332600000000002,7.500000000000002e-05,,,10.1016/j.jct.2010.12.009,ser
2645,404654161981082840,293.15,101.0,Liquid,2,CC(=O)OCCC(C)C,Solvent,0.5324,,CO,Solvent,0.4676,,,,,,,,,,0.8574200000000002,8.500000000000002e-05,,,10.1016/j.jct.2010.12.009,ser
2646,-5267430319572933866,293.15,101.0,Liquid,2,CC(=O)OCCC(C)C,Solvent,0.7662,,CO,Solvent,0.2338,,,,,,,,,,0.8668600000000002,9.500000000000002e-05,,,10.1016/j.jct.2010.12.009,ser
2852,8031624078284322636,298.15,100.0,Liquid,2,CCCCO,Solvent,0.1994,,CO,Solvent,0.8006,,,,,,,,,,0.7946650000000002,0.000122,,,10.1016/j.fluid.2017.01.019,ser
2853,4362499611532390741,298.15,100.0,Liquid,2,CCCCO,Solvent,0.5082,,CO,Solvent,0.4918,,,,,,,,,,0.8014940000000003,0.0001195,,,10.1016/j.fluid.2017.01.019,ser
2854,-7785541261424928736,298.15,100.0,Liquid,2,CCCCO,Solvent,0.7994,,CO,Solvent,0.2006,,,,,,,,,,0.8050570000000002,0.000118,,,10.1016/j.fluid.2017.01.019,ser
3167,2281518744331630648,298.15,101.0,Liquid,2,CCCCOCCCC,Solvent,0.7195,,CO,Solvent,0.2805,,,,,,0.766,0.0155,,,,,,,10.1016/j.jct.2009.07.001,ser
3168,-3591789631489555478,298.15,101.0,Liquid,2,CCCCOCCCC,Solvent,0.5032,,CO,Solvent,0.4968,,,,,,0.79,0.016,,,,,,,10.1016/j.jct.2009.07.001,ser
